alias,normalized_unit,dimension,multiplier_to_base
g,g,mass,1
gram,g,mass,1
grams,g,mass,1
gm,g,mass,1
gr,g,mass,1
kg,kg,mass,1000
kilogram,kg,mass,1000
kilograms,kg,mass,1000
oz,oz,mass,28.349523125
oz.,oz,mass,28.349523125
ounce,oz,mass,28.349523125
ounces,oz,mass,28.349523125
lb,lb,mass,453.59237
lb.,lb,mass,453.59237
lbs,lb,mass,453.59237
lbs.,lb,mass,453.59237
pound,lb,mass,453.59237
pounds,lb,mass,453.59237
ml,ml,volume,1
milliliter,ml,volume,1
milliliters,ml,volume,1
cc,ml,volume,1
l,l,volume,1000
liter,l,volume,1000
liters,l,volume,1000
litre,l,volume,1000
litres,l,volume,1000
tsp,tsp,volume,4.92892159375
tsp.,tsp,volume,4.92892159375
teaspoon,tsp,volume,4.92892159375
teaspoons,tsp,volume,4.92892159375
tbsp,tbsp,volume,14.78676478125
tbsp.,tbsp,volume,14.78676478125
tablespoon,tbsp,volume,14.78676478125
tablespoons,tbsp,volume,14.78676478125
cup,cup,volume,236.5882365
cups,cup,volume,236.5882365
c,cup,volume,236.5882365
pt,pint,volume,473.176473
pint,pint,volume,473.176473
pints,pint,volume,473.176473
qt,quart,volume,946.352946
qt.,quart,volume,946.352946
quart,quart,volume,946.352946
quarts,quart,volume,946.352946
gal,gallon,volume,3785.411784
gallon,gallon,volume,3785.411784
gallons,gallon,volume,3785.411784
piece,piece,count,1
sq,square,count,1
sq.,square,count,1
square,square,count,1
squares,square,count,1
pieces,piece,count,1
slice,slice,count,1
slices,slice,count,1
clove,clove,count,1
cloves,clove,count,1
stick,stick,count,1
sticks,stick,count,1
stalk,stalk,count,1
stalks,stalk,count,1
dozen,dozen,count,12
dozens,dozen,count,12
doz,dozen,count,12
rib,rib,count,1
ribs,rib,count,1
sprig,sprig,count,1
sprigs,sprig,count,1
head,head,count,1
heads,head,count,1
bunch,bunch,count,1
bunches,bunch,count,1
loaf,loaf,count,1
loaves,loaf,count,1
ear,ear,count,1
ears,ear,count,1
can,can,package,1
cans,can,package,1
jar,jar,package,1
jars,jar,package,1
bottle,bottle,package,1
bottles,bottle,package,1
box,box,package,1
boxes,box,package,1
bag,bag,package,1
bags,bag,package,1
carton,carton,package,1
cartons,carton,package,1
container,container,package,1
containers,container,package,1
package,package,package,1
packages,package,package,1
pkg,package,package,1
pkgs,package,package,1
pkt,packet,package,1
packet,packet,package,1
packets,packet,package,1
envelope,envelope,package,1
envelopes,envelope,package,1
pinch,pinch,informal,1
pinches,pinch,informal,1
dash,dash,informal,1
dashes,dash,informal,1
drop,drop,informal,1
drops,drop,informal,1
